section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
"【A19_3】 성인기 전 경험▶가족 중 누군가가 정서적으로 힘들어했던 경험(불안, 우울 등)",없다,37.86,59.419,486,5027,84.2965,0.0,0.4348,-21.559,True
【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,매일,48.148,69.326,486,5027,90.5386,0.0,0.4339,-21.178,True
【B12_1 TO B12_9】 우울 척도 총점,.00,7.613,22.638,486,5027,59.6501,0.0,0.4326,-15.025,True
【A7】 외출 빈도,"보통은 집에 있지만, 자신의 취미생활만을 위해 외출한다",17.284,4.456,486,5027,138.2549,0.0,0.4321,12.828,True
【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,별로그렇지않다,16.872,35.588,486,5027,69.2337,0.0,0.4318,-18.716,True
【C6x3】 병원 진단 및 치료▶제공 방식,1:1로 혼자서,79.167,59.515,486,5027,72.4622,0.0,0.4314,19.652,True
【A15】 과거 고립 생활 여부,없음,37.243,58.464,486,5027,81.2433,0.0,0.4281,-21.221,True
【A15】 과거 고립 생활 여부,있음,62.757,41.536,486,5027,81.2433,0.0,0.4281,21.221,True
【C6x6】 비슷한 상황에 있는 사람들과의 만남▶제공 방식,가족과 함께,3.261,14.85,486,5027,49.7279,0.0,0.428,-11.589,True
【B1_2】 평소 생활 패턴▶나는 평소 가족과 대화를 자주 하는 편이다,그렇다,19.753,38.89,486,5027,69.4679,0.0,0.4256,-19.137,True
【C7x6】 비슷한 상황에 있는 사람들과의 만남▶제공 기간,6개월 이상,46.739,26.692,486,5027,87.1672,0.0,0.4197,20.047,True
【C4_1 TO C4_9】 고립/은둔 회복 위해 필요한 지원,경제적 지원,57.202,36.511,486,5027,80.3237,0.0,0.4177,20.691,True
【B1_4】 평소 생활 패턴▶나는 거의 비슷한 시간에 잠들고 일어나는 편이다,Bottom2(①+②),27.572,11.379,486,5027,104.0719,0.0,0.4175,16.193,True
【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,별로그렇지않다,21.399,40.382,486,5027,67.3084,0.0,0.4154,-18.983,True
【C8_2】 서울시 고립·은둔청년 지원 사업에 대해 참여 경험,참여한 적이 없다,39.855,60.438,486,5027,76.8989,0.0,0.4146,-20.583,True
【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,2~3일에한 번,37.654,19.196,486,5027,91.5747,0.0,0.4143,18.458,True
【A14】 고립 기간,3개월 이상 ~ 6개월 미만,2.887,13.609,486,5027,46.1048,0.0,0.4142,-10.722,True
【A16_1 TO A16_11】 고립/은둔 계기,학교/사회생활이 어렵거나 무의미해서,30.658,13.743,486,5027,98.1481,0.0,0.414,16.915,True
【C8_1】 서울시 고립·은둔청년 지원 사업 인지 경로,신문 기사를 통해,4.348,16.366,486,5027,49.6346,0.0,0.4129,-12.018,True
【A19_1】 성인기 전 경험▶집안 형편이 갑자기 어려워진 경험,있다,57.819,37.378,486,5027,77.7035,0.0,0.4122,20.441,True
【A19_1】 성인기 전 경험▶집안 형편이 갑자기 어려워진 경험,없다,42.181,62.622,486,5027,77.7035,0.0,0.4122,-20.441,True
【A16_1 TO A16_11】 고립/은둔 계기,"친구나 주변 사람들로부터 따돌림, 괴롭힘, 폭력 등을 경험해서",20.988,7.164,486,5027,110.3386,0.0,0.4099,13.824,True
【A20_2】 성인기 후 경험▶가까운 사람이 취업 문제로 나를 압박하거나 진로를 강요했던 경험,있다,45.267,25.86,486,5027,83.5821,0.0,0.409,19.407,True
【A20_2】 성인기 후 경험▶가까운 사람이 취업 문제로 나를 압박하거나 진로를 강요했던 경험,없다,54.733,74.14,486,5027,83.5821,0.0,0.409,-19.407,True
【A10】 지난 2주간 교류 상대,1명,21.951,7.803,486,5027,108.8329,0.0,0.409,14.148,True
